"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         240,      -4.709918445,      -7.372693114,      -7.870877383,      -10.01153937,      -5.817151878
          0,           0,         241,      -4.741476763,       -7.37857677,      -7.871627843,      -10.03210133,      -5.818442343
          0,           0,         242,      -4.760744348,      -7.381331619,      -7.869842091,      -10.04365691,      -5.819792317
          0,           0,         243,      -4.764186973,      -7.381064581,      -7.865877209,      -10.04486732,      -5.821202644
          0,           0,         244,      -4.751893589,      -7.378118135,      -7.860206848,      -10.03616064,      -5.822673868
          0,           0,         245,      -4.727510504,      -7.373009359,      -7.853361582,      -10.01952733,      -5.824206253
          0,           0,         246,      -4.696096162,      -7.366349426,      -7.845875206,      -9.997693148,      -5.825799807
          0,           0,         247,      -4.662073871,       -7.35876659,      -7.838245274,      -9.973284045,      -5.827454308
          0,           0,         248,      -4.628466237,      -7.350847979,      -7.830909868,      -9.948374376,      -5.829169335
          0,           0,         249,      -4.597033884,      -7.343105049,      -7.824238263,      -9.924402699,      -5.830944295
          0,           0,         250,       -4.56867415,      -7.335959738,       -7.81853136,       -9.90227535,      -5.832778451
          0,           0,         251,      -4.543768198,      -7.329745035,      -7.814027818,      -9.882515655,      -5.834670947
          0,           0,         252,      -4.522412516,      -7.324713694,      -7.810912731,      -9.865393971,      -5.836620833
          0,           0,         253,      -4.504556809,      -7.321050309,      -7.809326777,      -9.851022613,      -5.838627078
          0,           0,         254,      -4.490081536,      -7.318883763,      -7.809374683,      -9.839419348,      -5.840688591
          0,           0,         255,      -4.478839977,      -7.318298472,      -7.811132436,      -9.830547894,      -5.842804223
          0,           0,         256,      -4.470680288,      -7.319343778,      -7.814653089,      -9.824342967,      -5.844972771
          0,           0,         257,      -4.465456524,      -7.322041391,      -7.819971157,      -9.820725423,      -5.847192978
          0,           0,         258,      -4.463033643,      -7.326391015,      -7.827105744,      -9.819611189,      -5.849463524
          0,           0,         259,      -4.463289286,      -7.332374431,      -7.836062494,      -9.820916347,      -5.851783009
          0,           0,         260,      -4.466113842,      -7.339958289,      -7.846834494,      -9.824559856,       -5.85414994
          0,           0,         261,      -4.471409644,      -7.349095862,      -7.859402192,      -9.830464827,      -5.856562708
          0,           0,         262,      -4.479089721,       -7.35972798,      -7.873732373,      -9.838558905,      -5.859019561
          0,           0,         263,      -4.489076346,      -7.371783301,      -7.889776204,      -9.848774106,      -5.861518581
          0,           0,         264,      -4.501299467,      -7.385178103,      -7.907466342,      -9.861046299,      -5.864057656
          0,           0,         265,      -4.515695059,      -7.399815722,      -7.926713103,      -9.875314462,       -5.86663445
          0,           0,         266,       -4.53220337,      -7.415585794,       -7.94739974,      -9.891519748,      -5.869246378
          0,           0,         267,      -4.550767024,      -7.432363452,      -7.969377002,      -9.909604395,       -5.87189058
          0,           0,         268,       -4.57132888,      -7.450008669,      -7.992457298,      -9.929510449,      -5.874563903
          0,           0,         269,      -4.593829577,       -7.46836595,      -8.016409143,      -9.951178276,      -5.877262878
          0,           0,         270,       -4.61820461,      -7.487264624,      -8.040952931,      -9.974544791,      -5.879983713
          0,           0,         271,        -4.6443808,      -7.506519987,      -8.065759609,      -9.999541304,      -5.882722279
          0,           0,         272,      -4.672271974,      -7.525935527,      -8.090454249,      -10.02609088,      -5.885474114
          0,           0,         273,      -4.701773668,      -7.545306439,      -8.114626659,      -10.05410504,      -5.888234428
          0,           0,         274,      -4.732756667,      -7.564424485,      -8.137850646,      -10.08347962,      -5.890998114
