"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         200,      -8.338115788,      -8.332422749,      -8.558813261,      -8.285640638
          0,           0,         201,      -8.338340469,      -8.332637368,      -8.558963013,        -8.2858679
          0,           0,         202,      -8.338549772,      -8.332832626,      -8.559094002,      -8.286075028
          0,           0,         203,      -8.338756306,      -8.333028625,      -8.559224774,      -8.286284313
          0,           0,         204,      -8.338943904,       -8.33320418,      -8.559330879,      -8.286470288
          0,           0,         205,      -8.339120268,      -8.333372381,      -8.559441322,      -8.286649258
          0,           0,         206,      -8.339282403,      -8.333524257,      -8.559532038,      -8.286809554
          0,           0,         207,      -8.339436231,      -8.333672538,      -8.559629328,      -8.286965656
          0,           0,         208,      -8.339581494,      -8.333809017,       -8.55970631,      -8.287108943
          0,           0,         209,      -8.339718787,       -8.33394161,      -8.559791535,      -8.287248347
          0,           0,         210,      -8.339841736,      -8.334058368,      -8.559862841,      -8.287369547
          0,           0,         211,      -8.340049216,      -8.334254831,      -8.559920304,      -8.287583605
          0,           0,         212,      -8.340214155,      -8.334419407,      -8.559997667,      -8.287747636
          0,           0,         213,      -8.340329026,      -8.334532586,      -8.560101815,      -8.287864869
          0,           0,         214,       -8.34043044,      -8.334625506,      -8.560171228,      -8.287964101
          0,           0,         215,      -8.340513858,      -8.334700924,      -8.560245482,      -8.288049003
          0,           0,         216,      -8.340595746,      -8.334773588,      -8.560296042,       -8.28812766
          0,           0,         217,      -8.340668388,      -8.334833591,      -8.560370282,      -8.288199658
          0,           0,         218,      -8.340750989,      -8.334900109,      -8.560412447,      -8.288279626
          0,           0,         219,      -8.340816327,      -8.334965733,      -8.560463959,      -8.288345703
          0,           0,         220,      -8.340884672,      -8.335031965,      -8.560500342,      -8.288411733
          0,           0,         221,      -8.340944218,      -8.335095522,      -8.560540704,      -8.288472996
          0,           0,         222,      -8.341002375,      -8.335151814,      -8.560567427,      -8.288529354
          0,           0,         223,      -8.341048721,      -8.335200478,       -8.56060071,      -8.288577561
          0,           0,         224,      -8.341094883,      -8.335244025,      -8.560621677,      -8.288621809
          0,           0,         225,      -8.341131453,      -8.335282339,      -8.560649855,      -8.288660355
          0,           0,         226,      -8.341168515,      -8.335316379,      -8.560666473,      -8.288695511
          0,           0,         227,      -8.341197564,      -8.335346847,      -8.560690773,      -8.288726568
          0,           0,         228,      -8.341228314,      -8.335374474,      -8.560703622,       -8.28875536
          0,           0,         229,      -8.341251917,      -8.335399404,      -8.560725248,       -8.28878101
          0,           0,         230,       -8.34127817,      -8.335422587,      -8.560735178,      -8.288805257
          0,           0,         231,      -8.341297512,      -8.335443337,      -8.560754746,      -8.288826687
          0,           0,         232,      -8.341320239,      -8.335463038,      -8.560762383,      -8.288847355
          0,           0,         233,      -8.341336184,      -8.335480538,      -8.560780192,       -8.28886543
          0,           0,         234,      -8.341356073,      -8.335497461,      -8.560785797,      -8.288883209
          0,           0,         235,      -8.341369066,      -8.335512154,      -8.560802139,      -8.288898381
          0,           0,         236,      -8.341386549,       -8.33552673,      -8.560805926,        -8.2889137
          0,           0,         237,      -8.341396954,       -8.33553898,      -8.560820962,      -8.288926335
          0,           0,         238,      -8.341412365,      -8.335551538,      -8.560823097,      -8.288939531
          0,           0,         239,      -8.341420461,      -8.335561613,      -8.560836941,      -8.288949908
          0,           0,         240,      -8.341434046,      -8.335572395,      -8.560837586,      -8.288961228
          0,           0,         241,       -8.34144009,      -8.335580533,      -8.560850346,      -8.288969601
          0,           0,         242,      -8.341452082,      -8.335589771,      -8.560849651,       -8.28897928
          0,           0,         243,       -8.34145632,      -8.335596194,      -8.560861434,      -8.288985891
          0,           0,         244,      -8.341466924,      -8.335604094,      -8.560859561,      -8.288994138
          0,           0,         245,      -8.341469596,      -8.335609021,      -8.560870478,      -8.288999223
          0,           0,         246,      -8.341479012,      -8.335615781,      -8.560867592,      -8.289006242
          0,           0,         247,      -8.341480352,      -8.335619423,      -8.560877756,      -8.289010027
          0,           0,         248,      -8.341488763,      -8.335625229,      -8.560874019,      -8.289016007
          0,           0,         249,       -8.34148899,      -8.335627784,      -8.560883544,      -8.289018706
          0,           0,         250,      -8.341496564,      -8.335632803,      -8.560879108,       -8.28902382
          0,           0,         251,      -8.341495875,      -8.335634453,        -8.5608881,      -8.289025625
          0,           0,         252,      -8.341502766,      -8.335638834,      -8.560883085,      -8.289030032
          0,           0,         253,      -8.341501312,      -8.335639702,      -8.560891587,      -8.289031077
          0,           0,         254,      -8.341507537,      -8.335643465,      -8.560886141,      -8.289034826
          0,           0,         255,      -8.341505451,      -8.335643757,      -8.560894298,      -8.289035241
          0,           0,         256,      -8.341511204,       -8.33564704,      -8.560888493,      -8.289038497
          0,           0,         257,      -8.341508694,      -8.335646893,       -8.56089639,      -8.289038497
          0,           0,         258,      -8.341514173,      -8.335649968,       -8.56089021,      -8.289041467
          0,           0,         259,       -8.34151123,      -8.335649354,      -8.560897968,      -8.289041048
          0,           0,         260,      -8.341516431,      -8.335652185,      -8.560891597,      -8.289043726
          0,           0,         261,      -8.341513213,      -8.335651285,      -8.560899168,      -8.289043039
          0,           0,         262,      -8.341518193,      -8.335653922,      -8.560892659,      -8.289045489
          0,           0,         263,      -8.341514747,      -8.335652772,      -8.560900097,       -8.28904458
          0,           0,         264,      -8.341519565,      -8.335655279,      -8.560893473,       -8.28904686
          0,           0,         265,      -8.341515936,       -8.33565392,      -8.560900819,      -8.289045774
          0,           0,         266,      -8.341520644,      -8.335656346,      -8.560894109,      -8.289047938
          0,           0,         267,      -8.341516869,       -8.33565482,      -8.560901376,      -8.289046711
          0,           0,         268,      -8.341521494,      -8.335657188,      -8.560894614,      -8.289048787
          0,           0,         269,      -8.341517605,      -8.335655526,      -8.560901816,       -8.28904745
          0,           0,         270,      -8.341522173,      -8.335657862,      -8.560895018,      -8.289049465
          0,           0,         271,      -8.341518191,      -8.335656085,      -8.560902166,      -8.289048039
          0,           0,         272,      -8.341522721,      -8.335658405,      -8.560895346,      -8.289050012
          0,           0,         273,      -8.341518664,      -8.335656534,       -8.56090245,      -8.289048514
          0,           0,         274,      -8.341523168,      -8.335658847,      -8.560895616,      -8.289050458
          0,           0,         275,      -8.341519051,      -8.335656898,      -8.560902682,      -8.289048902
          0,           0,         276,      -8.341523537,      -8.335659213,      -8.560895842,      -8.289050827
          0,           0,         277,      -8.341519371,      -8.335657199,      -8.560902876,      -8.289049224
          0,           0,         278,      -8.341523847,      -8.335659518,      -8.560896033,      -8.289051135
          0,           0,         279,      -8.341519641,       -8.33565745,       -8.56090304,      -8.289049495
          0,           0,         280,      -8.341524108,      -8.335659775,      -8.560896196,      -8.289051395
          0,           0,         281,       -8.34151987,      -8.335657662,      -8.560903181,      -8.289049726
          0,           0,         282,      -8.341524331,      -8.335659995,      -8.560896336,      -8.289051618
          0,           0,         283,      -8.341520068,      -8.335657844,      -8.560903302,      -8.289049924
          0,           0,         284,      -8.341524523,      -8.335660182,      -8.560896457,      -8.289051808
          0,           0,         285,      -8.341520238,      -8.335658001,      -8.560903408,      -8.289050096
          0,           0,         286,      -8.341524687,      -8.335660343,      -8.560896561,      -8.289051972
          0,           0,         287,      -8.341520386,      -8.335658136,      -8.560903501,      -8.289050245
          0,           0,         288,      -8.341524828,      -8.335660479,      -8.560896652,      -8.289052112
          0,           0,         289,      -8.341520513,      -8.335658252,      -8.560903581,      -8.289050373
          0,           0,         290,      -8.341524948,      -8.335660595,      -8.560896731,      -8.289052231
