"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
40, 6.363800168040000e-01, -4.233084266562091e-02, 1.683280943553590e+02, -9.983611604988271e-01, -1.567396169597411e-01, 6.071590216640926e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.482323317806048e-03
41, 6.211299896240000e-01, -4.367359094194759e-02, 1.708822849634935e+02, -1.008576939822150e+00, -1.524406907985044e-01, 6.158493588949194e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.367941308992874e-03
42, 6.057599782940000e-01, -4.498807223669178e-02, 1.738418789389130e+02, -1.020262753002528e+00, -1.485255872750329e-01, 6.246311633287465e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.660591542549180e-03
43, 5.902799963950000e-01, -4.627132533375768e-02, 1.766909106124155e+02, -1.031456849163977e+00, -1.438281937820160e-01, 6.342247934236047e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.594546167977597e-03
44, 5.747100114820000e-01, -4.751950934859488e-02, 1.799248721968139e+02, -1.044069236563040e+00, -1.393824209923616e-01, 6.439729510169264e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.948293797648210e-03
45, 5.590599775310000e-01, -4.872955796694115e-02, 1.831023529709749e+02, -1.056354869445022e+00, -1.342385117503632e-01, 6.545027256929346e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.844430593678901e-03
46, 5.433599948880000e-01, -4.989683951066199e-02, 1.865902026263756e+02, -1.069839110535324e+00, -1.291118064790592e-01, 6.652726557665441e-04, 0.000000000000000e+00, 0.000000000000000e+00, 7.299552099517399e-03
47, 5.276100039480000e-01, -5.101897737545535e-02, 1.901224252762395e+02, -1.083326197931773e+00, -1.234409548702799e-01, 6.767475521666357e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.868676874574088e-03
48, 5.118399858470000e-01, -5.209138375948307e-02, 1.938828678948799e+02, -1.097678225332712e+00, -1.175507155928550e-01, 6.885469371928957e-04, 0.000000000000000e+00, 0.000000000000000e+00, 6.061906298390120e-03
49, 4.960500001910000e-01, -5.311153541819326e-02, 1.977667007123865e+02, -1.112490919691731e+00, -1.111668645439143e-01, 7.011175812454656e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.377974498902534e-03
50, 4.802699983120000e-01, -5.407492053959814e-02, 2.019043406137246e+02, -1.128155269040838e+00, -1.044432873342014e-01, 7.142615821783112e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.810894747859190e-03
51, 4.645099937920000e-01, -5.497835513414191e-02, 2.062362393834651e+02, -1.144351541712713e+00, -9.732303475112147e-02, 7.280801582137114e-04, 0.000000000000000e+00, 0.000000000000000e+00, 8.222289854288063e-03
52, 4.487800002100000e-01, -5.581859897363720e-02, 2.106214912122050e+02, -1.160731940665803e+00, -8.952445318544938e-02, 7.422788385135293e-04, 0.000000000000000e+00, 0.000000000000000e+00, 9.341089303635908e-03
53, 4.331099987030000e-01, -5.659141825851464e-02, 2.150833878408426e+02, -1.177206822535583e+00, -8.141641052560154e-02, 7.563446794220145e-04, 0.000000000000000e+00, 0.000000000000000e+00, 1.803431447617245e-03
54, 4.174999892710000e-01, -5.729416860686566e-02, 2.191772380511958e+02, -1.192366268345616e+00, -7.234893428073021e-02, 7.698337515408643e-04, 0.000000000000000e+00, 0.000000000000000e+00, -1.529128890634818e-02
55, 4.019699990750000e-01, -5.792324246601335e-02, 2.230996692195907e+02, -1.206817428655450e+00, -6.278242893329139e-02, 7.821346913612424e-04, 0.000000000000000e+00, 0.000000000000000e+00, -2.867511683246411e-02
56, 3.865399956700000e-01, -5.847520956655861e-02, 2.266915612959622e+02, -1.220025856523718e+00, -5.227941034802747e-02, 7.938911826977646e-04, 0.000000000000000e+00, 0.000000000000000e+00, -9.838360499099641e-03
57, 3.712300062180000e-01, -5.894684318665333e-02, 2.308043635782148e+02, -1.234997225848318e+00, -4.156661131982034e-02, 8.066064854801565e-04, 0.000000000000000e+00, 0.000000000000000e+00, 5.687787768272907e-02
