"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         174,      -4.329088409,      -6.743762155,      -7.286053862,      -9.724759571,      -4.794511746
          0,           0,         175,      -4.333319186,      -6.739914974,      -7.276717938,      -9.729889311,      -4.794591397
          0,           0,         176,      -4.336972222,      -6.735792984,      -7.267302529,      -9.734437573,      -4.794608541
          0,           0,         177,      -4.339757984,       -6.73138845,      -7.257795241,      -9.737944377,      -4.794562537
          0,           0,         178,      -4.341449843,      -6.726700442,      -7.248192799,      -9.740019845,      -4.794452975
          0,           0,         179,      -4.341900188,      -6.721734745,      -7.238504669,      -9.740386274,      -4.794279686
          0,           0,         180,      -4.341045205,      -6.716503253,      -7.228754225,      -9.738905811,      -4.794042748
          0,           0,         181,      -4.338897412,       -6.71102297,      -7.218977751,      -9.735586211,      -4.793742486
          0,           0,         182,      -4.335528104,       -6.70531475,      -7.209221742,      -9.730563244,      -4.793379476
          0,           0,         183,      -4.331044215,      -6.699401956,      -7.199539075,      -9.724065297,       -4.79295454
          0,           0,         184,      -4.325564937,      -6.693309162,      -7.189984653,      -9.716370079,      -4.792468745
          0,           0,         185,      -4.319202677,      -6.687061024,      -7.180611067,       -9.70776367,      -4.791923394
          0,           0,         186,      -4.312051233,      -6.680681374,      -7.171464683,      -9.698509078,       -4.79132002
          0,           0,         187,      -4.304182062,      -6.674192587,       -7.16258247,      -9.688827299,      -4.790660371
          0,           0,         188,      -4.295647851,      -6.667615199,      -7.153989719,      -9.678890355,      -4.789946402
          0,           0,         189,      -4.286491408,      -6.660967748,      -7.145698719,      -9.668823761,      -4.789180254
          0,           0,         190,      -4.276757259,      -6.654266773,      -7.137708363,      -9.658715186,      -4.788364239
          0,           0,         191,      -4.266503218,      -6.647526909,      -7.130004633,      -9.648626187,      -4.787500824
          0,           0,         192,      -4.255809514,      -6.640761013,      -7.122561841,      -9.638604431,      -4.786592605
          0,           0,         193,      -4.244783802,       -6.63398027,      -7.115344543,      -9.628694442,       -4.78564229
          0,           0,         194,       -4.23356134,      -6.627194223,      -7.108309952,      -9.618945563,      -4.784652676
          0,           0,         195,      -4.222300621,      -6.620410734,      -7.101410743,      -9.609416432,      -4.783626623
          0,           0,         196,      -4.211175506,      -6.613635842,      -7.094598042,      -9.600175868,      -4.782567033
          0,           0,         197,      -4.200365312,      -6.606873563,      -7.087824441,      -9.591300482,      -4.781476829
          0,           0,         198,      -4.190044294,      -6.600125645,      -7.081046832,      -9.582869736,      -4.780358927
          0,           0,         199,      -4.180371662,      -6.593391333,      -7.074228865,      -9.574959244,      -4.779216219
          0,           0,         200,       -4.17148282,      -6.586667177,      -7.067342872,      -9.567633174,      -4.778051547
          0,           0,         201,      -4.163482076,      -6.579946951,      -7.060371113,      -9.560936476,      -4.776867687
          0,           0,         202,      -4.156436751,      -6.573221699,      -7.053306299,      -9.554887498,       -4.77566733
          0,           0,         203,      -4.150372485,       -6.56647996,      -7.046151372,      -9.549471465,      -4.774453065
          0,           0,         204,      -4.145269511,      -6.559708177,      -7.038918624,      -9.544635223,      -4.773227364
          0,           0,         205,      -4.141059853,      -6.552891294,      -7.031628285,      -9.540283725,      -4.771992575
          0,           0,         206,      -4.137625646,      -6.546013517,       -7.02430674,      -9.536278877,      -4.770750904
          0,           0,         207,      -4.134799139,      -6.539059209,      -7.016984549,      -9.532441518,      -4.769504416
          0,           0,         208,      -4.132365267,      -6.532013862,      -7.009694463,      -9.528557409,      -4.768255025
          0,           0,         209,      -4.130067964,      -6.524865072,      -7.002469565,      -9.524387992,      -4.767004493
          0,           0,         210,      -4.127621381,      -6.517603453,      -6.995341654,      -9.519686166,      -4.765754429
          0,           0,         211,      -4.124726762,      -6.510223426,      -6.988339936,      -9.514216436,      -4.764506288
          0,           0,         212,      -4.121094717,      -6.502723787,      -6.981490067,      -9.507777506,      -4.763261377
          0,           0,         213,      -4.116471103,      -6.495108047,      -6.974813522,      -9.500224157,      -4.762020857
          0,           0,         214,      -4.110663042,      -6.487384479,      -6.968327281,      -9.491484569,      -4.760785747
          0,           0,         215,      -4.103560447,      -6.479565889,      -6.962043778,      -9.481569604,      -4.759556927
          0,           0,         216,      -4.095148545,      -6.471669126,      -6.955971056,      -9.470572094,      -4.758335151
          0,           0,         217,      -4.085508549,      -6.463714363,      -6.950113081,      -9.458656434,      -4.757121043
          0,           0,         218,      -4.074806423,      -6.455724224,      -6.944470152,      -9.446040892,      -4.755915108
          0,           0,         219,      -4.063272477,      -6.447722802,      -6.939039359,      -9.432976318,      -4.754717734
          0,           0,         220,      -4.051176292,      -6.439734652,      -6.933815056,      -9.419724979,      -4.753529197
          0,           0,         221,      -4.038801658,      -6.431783818,       -6.92878931,      -9.406542362,      -4.752349662
          0,           0,         222,      -4.026425081,      -6.423892948,      -6.923952302,      -9.393663471,      -4.751179186
          0,           0,         223,      -4.014299777,      -6.416082546,      -6.919292686,      -9.381293905,      -4.750017718
          0,           0,         224,      -4.002645444,      -6.408370375,      -6.914797878,      -9.369605175,      -4.748865099
          0,           0,         225,      -3.991643087,      -6.400771049,      -6.910454294,      -9.358733299,       -4.74772106
          0,           0,         226,      -3.981433682,      -6.393295795,      -6.906247548,      -9.348779626,      -4.746585219
          0,           0,         227,      -3.972119384,      -6.385952397,      -6.902162613,      -9.339813016,      -4.745457082
          0,           0,         228,      -3.963766215,      -6.378745283,      -6.898183975,       -9.33187266,      -4.744336037
          0,           0,         229,      -3.956407425,      -6.371675761,      -6.894295781,      -9.324971097,      -4.743221349
          0,           0,         230,       -3.95004703,      -6.364742352,      -6.890482006,      -9.319097147,      -4.742112162
          0,           0,         231,      -3.944663221,      -6.357941207,      -6.886726646,      -9.314218614,      -4.741007495
          0,           0,         232,      -3.940211547,      -6.351266572,       -6.88301394,      -9.310284744,      -4.739906238
          0,           0,         233,      -3.936627862,      -6.344711283,      -6.879328629,      -9.307228461,      -4.738807154
          0,           0,         234,      -3.933831115,      -6.338267243,      -6.875656234,      -9.304968437,      -4.737708879
          0,           0,         235,      -3.931726074,      -6.331925881,      -6.871983359,      -9.303411107,      -4.736609926
          0,           0,         236,      -3.930206103,      -6.325678563,      -6.868297991,      -9.302452694,      -4.735508689
          0,           0,         237,      -3.929156074,      -6.319516936,      -6.864589787,      -9.301981325,      -4.734403446
          0,           0,         238,      -3.928455477,      -6.313433199,      -6.860850332,      -9.301879297,      -4.733292374
          0,           0,         239,      -3.927981723,      -6.307420306,       -6.85707334,      -9.302025508,      -4.732173553
          0,           0,         240,      -3.927613578,      -6.301472082,      -6.853254798,      -9.302298036,      -4.731044983
          0,           0,         241,      -3.927234607,      -6.295583279,      -6.849393035,      -9.302576811,      -4.729904596
          0,           0,         242,      -3.926736434,      -6.289749561,      -6.845488705,      -9.302746289,      -4.728750276
          0,           0,         243,      -3.926021619,      -6.283967447,      -6.841544699,      -9.302698004,      -4.727579874
          0,           0,         244,      -3.925005923,      -6.278234217,      -6.837565987,      -9.302332872,      -4.726391228
          0,           0,         245,      -3.923619807,        -6.2725478,      -6.833559388,      -9.301563125,      -4.725182187
          0,           0,         246,      -3.921809049,      -6.266906652,      -6.829533306,       -9.30031379,      -4.723950633
          0,           0,         247,      -3.919534491,      -6.261309647,      -6.825497434,      -9.298523651,      -4.722694499
          0,           0,         248,      -3.916771022,      -6.255755972,      -6.821462445,       -9.29614572,        -4.7214118
          0,           0,         249,      -3.913505982,      -6.250245065,       -6.81743969,      -9.293147248,      -4.720100648
          0,           0,         250,      -3.909737234,       -6.24477656,      -6.813440919,      -9.289509388,      -4.718759284
          0,           0,         251,       -3.90547118,      -6.239350275,      -6.809478028,      -9.285226591,      -4.717386089
          0,           0,         252,      -3.900720937,      -6.233966222,      -6.805562853,      -9.280305845,      -4.715979616
