"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y"
56, 3.865399956700000e-01, -5.847520956655861e-02, 1.131271664557559e+00, 3.544567778574562e+02, 1.161671668428221e+01, 2.660286655112919e+05, 8.417550654670929e+04, 2.592084616030980e+02, 9.713059603844196e-01, -3.777954040501459e-01, 3.133259578247143e+02, 1.026872416964984e+01
57, 3.712300062180000e-01, -5.894684318665333e-02, 1.123204953167814e+00, 3.546468675268666e+02, 9.662264057439138e+00, 2.643708840679908e+05, 8.333610203618517e+04, 2.584666525554570e+02, 9.800475275947066e-01, -3.962870969435080e-01, 3.157454625949109e+02, 8.602405135579506e+00
58, 3.560400009160000e-01, -5.933561549045978e-02, 1.095553025716354e+00, 3.547931667886502e+02, 7.913590088677362e+00, 2.586701030789524e+05, 8.047676410454987e+04, 2.558983279253934e+02, 1.010106764995389e+00, -4.592769882857962e-01, 3.238484659897316e+02, 7.223374773213618e+00
59, 3.409900069240000e-01, -5.963847719943702e-02, 1.053964061884832e+00, 3.543316870432090e+02, 6.344495760952618e+00, 2.500746155446995e+05, 7.619768692304593e+04, 2.518525374249394e+02, 1.056894862589208e+00, -5.535430782523102e-01, 3.361895342138594e+02, 6.019650944840174e+00
60, 3.261100053790000e-01, -5.985254444802346e-02, 1.022363625553484e+00, 3.532939136241985e+02, 4.360520834160373e+00, 2.435077391974745e+05, 7.298211660155737e+04, 2.486803158795426e+02, 1.093186583093133e+00, -6.243806042799562e-01, 3.455658092617815e+02, 4.265136909384554e+00
61, 3.113999962810000e-01, -5.997565198183213e-02, 1.010385985917512e+00, 3.525913503159871e+02, 2.053129721080584e+00, 2.409938288017978e+05, 7.178814908824094e+04, 2.475117310026086e+02, 1.106483555741471e+00, -6.506831560343099e-01, 3.489669841331041e+02, 2.032025136627540e+00
62, 2.968699932100000e-01, -6.000550062925582e-02, 1.010861093621904e+00, 3.524740364154010e+02, -3.500115555416884e-01, 2.410783546920680e+05, 7.185070075037707e+04, 2.476109644935784e+02, 1.105355771947780e+00, -6.493051718661423e-01, 3.486869151848454e+02, -3.462508921849993e-01
63, 2.825500071050000e-01, -5.994005483718394e-02, 1.015255616930281e+00, 3.525836134544566e+02, -2.797262744969693e+00, 2.419860246078339e+05, 7.230342903351868e+04, 2.480926161854177e+02, 1.099878280662810e+00, -6.393317773096056e-01, 3.472855580159465e+02, -2.755230011361548e+00
64, 2.684499919410000e-01, -5.977765596976551e-02, 1.019820462129213e+00, 3.527852527087250e+02, -5.319253302831316e+00, 2.429398869217426e+05, 7.276269113902765e+04, 2.485509210553775e+02, 1.094660704291849e+00, -6.292144456701461e-01, 3.459287843393228e+02, -5.215872303371531e+00
65, 2.545700073240000e-01, -5.951657836311273e-02, 1.024065977703636e+00, 3.529626396499760e+02, -7.949052288213283e+00, 2.438286891204790e+05, 7.318815888251500e+04, 2.489678274619955e+02, 1.089909525977646e+00, -6.198415881861099e-01, 3.446678703665745e+02, -7.762246243194437e+00
66, 2.409400045870000e-01, -5.915585896897953e-02, 1.028644167076189e+00, 3.531312159316032e+02, -1.072038685429725e+01, 2.447873417410270e+05, 7.364676187859867e+04, 2.494128551406794e+02, 1.084832564827732e+00, -6.097387764222560e-01, 3.432977381627903e+02, -1.042186131747464e+01
67, 2.275699973110000e-01, -5.869456802648413e-02, 1.033813525684101e+00, 3.532700108695104e+02, -1.363576985841374e+01, 2.458670694442159e+05, 7.416729603540828e+04, 2.499197520824827e+02, 1.079042882464710e+00, -5.982716498491355e-01, 3.417154081397247e+02, -1.318977699521835e+01
68, 2.144699990750000e-01, -5.813197420944613e-02, 1.039512835521595e+00, 3.533851692108369e+02, -1.670060419903583e+01, 2.470565652149635e+05, 7.474211765513307e+04, 2.504758664344855e+02, 1.072682291877907e+00, -5.856085955920420e-01, 3.399526750754544e+02, -1.606579892845286e+01
69, 2.016600072380000e-01, -5.746811193675738e-02, 1.045561391602612e+00, 3.534498036634123e+02, -1.992094565315620e+01, 2.483168688583821e+05, 7.535424649426040e+04, 2.510663672271089e+02, 1.065917989232051e+00, -5.721236805571621e-01, 3.380478721786511e+02, -1.905287036528944e+01
70, 1.891400069000000e-01, -5.670228146432130e-02, 1.052010400900951e+00, 3.534696571397687e+02, -2.330774259749371e+01, 2.496596871527586e+05, 7.600782756802897e+04, 2.516915478421712e+02, 1.058744257887861e+00, -5.577255919770855e-01, 3.359944510406496e+02, -2.215542981089612e+01
71, 1.769299954180000e-01, -5.583513598033686e-02, 1.059131097775017e+00, 3.534341293743029e+02, -2.687914126949556e+01, 2.511404353157106e+05, 7.673141100566712e+04, 2.523793456258709e+02, 1.050836948338422e+00, -5.417853837178120e-01, 3.337019658064844e+02, -2.537848367021067e+01
72, 1.650400012730000e-01, -5.486709202536137e-02, 1.067214278071060e+00, 3.533358260654121e+02, -3.065006790439600e+01, 2.528191678378085e+05, 7.755496290346282e+04, 2.531560511904468e+02, 1.041887651208513e+00, -5.236429165463232e-01, 3.310823639879051e+02, -2.871969438020878e+01
73, 1.534900069240000e-01, -5.379977779145956e-02, 1.076235560840461e+00, 3.531411407833490e+02, -3.463143841827848e+01, 2.546890518406003e+05, 7.847776873767593e+04, 2.540210192225888e+02, 1.031895350715579e+00, -5.033139310899348e-01, 3.281262519402087e+02, -3.217830712751570e+01
74, 1.422899961470000e-01, -5.263443049277360e-02, 1.085972305313813e+00, 3.528326437120472e+02, -3.883627104180545e+01, 2.567041750829353e+05, 7.947681852807886e+04, 2.549482699687833e+02, 1.021151416623263e+00, -4.813053265641221e-01, 3.249002225798836e+02, -3.576175087686324e+01
